country_name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Indonesia,0.251,0.285,0.519,0.609,0.602,0.544,0.701,0.403,0.444,0.239,0.557,0.759,0.331,0.411,0.734,0.749,0.774,1.448,0.943,0.868,1.021
"Iran, Islamic Rep. of",1.571,1.124,1.419,1.583,0.842,1.397,0.702,1.723,0.762,1.019,1.052,2.092,1.234,0.98,1.533,0.953,1.728,1.531,1.634,1.963,1.508
Iraq,1.785,0.858,1.153,1.018,0.853,0.935,0.374,1.462,0.808,1.008,0.719,2.541,0.734,1.151,1.106,1.053,1.816,1.532,1.458,2.305,1.671
Ireland,1.054,0.548,0.529,0.809,1.006,0.878,1.162,1.157,1.355,0.858,0.824,-0.086,0.576,0.715,0.584,1.424,0.51,1.098,1.318,0.834,1.248
Isle of Man,1.09,0.606,0.495,0.873,1.034,0.931,1.147,1.213,1.307,0.817,0.86,-0.129,0.661,0.589,0.424,1.533,0.441,1.118,1.365,0.879,1.172
Israel,0.903,0.312,0.928,0.805,0.641,0.622,0.26,0.649,0.582,0.788,0.89,2.385,0.643,1.101,1.186,0.946,1.412,1.701,0.82,2.089,1.304
Italy,0.889,1.217,1.503,0.884,1.497,0.718,0.528,0.808,1.519,1.089,1.182,0.696,1.2,1.486,0.946,1.573,1.647,1.649,1.559,1.792,1.639
Jamaica,0.556,0.23,0.486,0.741,0.905,0.735,0.823,0.811,0.719,0.329,0.594,1.002,0.354,0.489,0.754,0.973,1.07,1.257,0.978,1.185,1.479
Japan,0.921,0.601,0.381,0.594,0.286,1.077,0.698,0.346,0.961,0.631,0.764,0.884,0.556,0.353,0.583,0.516,0.789,1.274,0.746,0.872,1.215
Jordan,1.036,0.38,1.018,0.747,0.595,0.712,0.19,0.833,0.6,0.817,0.644,2.639,0.56,1.087,1.06,0.885,1.545,1.772,1.058,2.101,1.433
"Kazakhstan, Rep. of",1.37,1.494,1.645,2.252,0.132,2.156,1.559,1.445,2.2,1.556,1.187,1.299,0.738,1.143,1.614,0.669,1.605,2.24,1.752,0.629,1.47
Kenya,0.234,0.52,0.606,0.729,0.886,0.656,0.729,0.734,0.456,0.727,1.296,1.084,1.02,0.898,0.805,0.9,1.013,1.131,1.393,0.527,1.498
Kiribati,0.085,0.352,0.634,0.736,0.818,Unknown,Unknown,0.796,0.89,0.714,1.03,0.738,0.755,0.855,1.054,1.194,1.329,1.656,1.468,1.374,1.376
"Korea, Dem. People's Rep. of",1.423,0.64,0.914,0.914,0.995,1.634,0.888,0.734,1.645,1.553,1.117,0.428,0.557,0.457,0.329,1.517,1.217,1.416,1.625,0.904,1.886
"Korea, Rep. of",1.065,0.445,0.92,0.683,0.662,1.235,0.969,0.538,1.304,0.993,0.989,0.542,0.347,0.419,0.522,1.027,0.953,1.609,1.404,0.887,1.407
Kuwait,1.881,1.037,1.106,1.451,1.37,1.3,0.495,1.683,0.968,1.209,1.102,2.442,1.154,1.344,1.215,1.354,1.992,1.48,1.804,2.173,1.693
Kyrgyz Rep.,1.087,1.098,1.438,1.415,0.417,1.505,1.156,1.631,1.702,1.01,0.991,1.361,1.235,0.289,1.383,0.495,1.482,1.877,1.43,1.21,1.647
Lao People's Dem. Rep.,0.727,0.102,0.786,0.72,1.06,0.491,0.961,0.936,0.656,0.338,0.699,1.405,0.171,0.998,1.189,0.758,1.413,1.44,1.192,0.894,2.124
Latvia,1.538,1.997,1.806,1.705,0.227,0.996,1.329,1.058,2.175,2.375,1.499,0.665,1.118,1.369,1.046,2.284,2.126,1.905,1.469,2.324,2.428
Lebanon,1.102,0.554,1.158,0.849,0.656,0.684,0.318,0.756,0.762,1.023,0.896,2.372,0.703,1.083,1.275,1.072,1.448,1.742,1.143,2.276,1.553
"Lesotho, Kingdom of",1.217,0.314,0.569,0.545,0.778,0.835,0.872,0.169,0.718,0.456,0.461,1.205,0.449,0.714,0.622,0.575,1.1,1.792,0.82,0.732,1.761
Liberia,0.805,0.502,0.53,0.885,0.921,0.897,1.077,1.095,1.022,1.17,1.377,1.395,1.059,0.847,0.954,0.918,1.338,1.54,1.572,1.345,1.499
